name,base-polysynth-mathsat_cmd,base-polysynth-mathsat-time,base-polysynth-z3_cmd,base-polysynth-z3-time,h1-polysynth-mathsat_cmd,h1-polysynth-mathsat-time,h1-polysynth-z3_cmd,h1-polysynth-z3-time,h2-polysynth-mathsat_cmd,h2-polysynth-mathsat-time,h2-polysynth-z3_cmd,h2-polysynth-z3-time,h12-polysynth-mathsat_cmd,h12-polysynth-mathsat-time,h12-polysynth-z3_cmd,h12-polysynth-z3-time,direct-z3-polysynth-_cmd,direct-z3-polysynth--time,cvc5-polysynth-_cmd,cvc5-polysynth--time
archimedes.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,225.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,217.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,208.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,221.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,233.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,261.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,220.0,./PolyQEnt experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,245.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/archimedes.c.smt2,24.0,,
berkeley.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,535.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/berkeley.c.smt2.json,530.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,391.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/berkeley.c.smt2.json,392.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,1260.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/berkeley.c.smt2.json,1259.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,742.0,./PolyQEnt experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/berkeley.c.smt2.json,709.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/berkeley.c.smt2,1119.0,,
closest_cube_root.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,277.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,337.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,264.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,279.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,407.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,407.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,322.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,305.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/closest_cube_root.c.smt2,100.0,,
closest_square_root.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,238.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,206.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,220.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,203.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,331.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,304.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,258.0,./PolyQEnt experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,331.0,,,,
cohendiv.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,297.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/cohendiv.c.smt2.json,353.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,261.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/cohendiv.c.smt2.json,233.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,392.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/cohendiv.c.smt2.json,381.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,265.0,./PolyQEnt experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/cohendiv.c.smt2.json,297.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/cohendiv.c.smt2,37.0,,
consecutive_cubes.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,395.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,386.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,301.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,309.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,586.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,631.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,426.0,./PolyQEnt experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,449.0,,,,
dijkstra_ind.c.smt2,,,,,,,,,,,,,,,,,,,,
dijsktra.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,261.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/dijsktra.c.smt2.json,261.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,261.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/dijsktra.c.smt2.json,262.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,326.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/dijsktra.c.smt2.json,344.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,299.0,./PolyQEnt experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/dijsktra.c.smt2.json,334.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/dijsktra.c.smt2,992.0,,
euclidex1.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/euclidex1.c.smt2.json,544.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/euclidex1.c.smt2.json,441.0,,,,,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/euclidex1.c.smt2.json,465.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/euclidex1.c.smt2.json,437.0,,,,,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/euclidex1.c.smt2,13.0,,
euclidex2.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,373.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/euclidex2.c.smt2.json,271.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,252.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/euclidex2.c.smt2.json,242.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,418.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/euclidex2.c.smt2.json,442.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,305.0,./PolyQEnt experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/euclidex2.c.smt2.json,356.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/euclidex2.c.smt2,205.0,,
fermat1.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,385.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/fermat1.c.smt2.json,347.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,300.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/fermat1.c.smt2.json,292.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,471.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/fermat1.c.smt2.json,474.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,339.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/fermat1.c.smt2.json,364.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/fermat1.c.smt2,6044.0,,
fermat2_ind.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,314.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,282.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,249.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,246.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,349.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,328.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,275.0,./PolyQEnt experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,305.0,,,,
firefly.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,994.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,1020.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,689.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,711.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,2921.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,2463.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,1217.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,1270.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/firefly.c.smt2,583.0,,
floor_square_root.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,235.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,243.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,226.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,228.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,347.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,330.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,255.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,287.0,,,,
friction.c.smt2,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/friction.c.smt2.json,207.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/friction.c.smt2.json,219.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/friction.c.smt2.json,217.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/friction.c.smt2.json,214.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/friction.c.smt2,35.0,,
